index,title,link,date
97," [스팟+터뷰] 이탄희, ‘대선 결선투표제법’ 발의···“반사이익 노리는 혐오정치 끝내야”",https://www.khan.co.kr/politics/politics-general/article/202301131609001,2023.01.13 16:09
98," ‘강제동원 제3자 변제’ 공식화 다음날, 한·일 외교장관 통화",https://www.khan.co.kr/politics/politics-general/article/202301131550001,2023.01.13 15:50
99, 주호영 “이재명 자기 발등 급한 불 두고 딴청부려”···정치개혁안 제안에 부정 반응,https://www.khan.co.kr/politics/politics-general/article/202301131131001,2023.01.13 11:31
100, 민주당 “북한 무인기 침범은 대통령실 이전 때문···감사 실시해야”,https://www.khan.co.kr/politics/politics-general/article/202301131115011,2023.01.13 11:15
101, [단독]다시 몸집 키우는 국정원···국정원 개혁 후퇴하나,https://www.khan.co.kr/politics/politics-general/article/202301130600021,2023.01.13 06:00
102," 나경원, 13일 사직서 낸다···“사의에 대한 확고한 의지”",https://www.khan.co.kr/politics/politics-general/article/202301122052011,2023.01.12 20:52
103," 민주당, 강제동원 정부안에 “피해자 짓밟고 일본 기업 이익 대변하나”",https://www.khan.co.kr/politics/politics-general/article/202301121741001,2023.01.12 17:41
104," 11년만에 통일부 ‘따로’ 업무보고…대북 압박 우선, 대화 후순위 현실",https://www.khan.co.kr/politics/politics-general/article/202301121711011,2023.01.12 17:11
105," 이준석, 전당대회서 ‘존재감 증명’할까…최고위원 선거 영향 있을 듯",https://www.khan.co.kr/politics/politics-general/article/202301121656001,2023.01.12 16:56
106, ‘전통문화 계승’ 한복입고 본의회 참석한 충북도의회 의원들…시민단체 “혈세낭비” 비판,https://www.khan.co.kr/politics/politics-general/article/202301121549011,2023.01.12 15:49
107," 눈물 바다된 국정조사, 이태원 참사 유가족 “경찰, 오빠 손대지 말라고···마지막 기회였는데”",https://www.khan.co.kr/politics/politics-general/article/202301121536001,2023.01.12 15:36
108, SRT 서대전역 경유 배제에 대전 지역사회 반발,https://www.khan.co.kr/politics/politics-general/article/202301121453001,2023.01.12 14:53
109, 이태원 참사 생존자 “장관·총리·의원이 2차가해···이상민 브리핑 보며 무너져”,https://www.khan.co.kr/politics/politics-general/article/202301121433001,2023.01.12 14:33
110," 김용태vs장예찬, ‘엄카’ 논쟁···실상은 표심 계산?",https://www.khan.co.kr/politics/politics-general/article/202301121359001,2023.01.12 13:59
111, [NBS] 이재명 검찰 출석 전후 민주당 지지율 더 떨어져···국민의힘과 격차 8%P,https://www.khan.co.kr/politics/politics-general/article/202301121157001,2023.01.12 11:57
112," 윤 대통령 부부, 호국영웅 등에 설 선물 전달",https://www.khan.co.kr/politics/politics-general/article/202301121113001,2023.01.12 11:13
113, 정진석 “간첩은 국정원이 잡아야···대공수사권 경찰 이전은 자발적 무장해제”,https://www.khan.co.kr/politics/politics-general/article/202301121043001,2023.01.12 10:43
114," ‘북한 무인기 사태’ 논의, 국방위·외통위 다음주 개최",https://www.khan.co.kr/politics/politics-general/article/202301121002001,2023.01.12 10:02
115, ‘이태원 3차 청문회’ 유족은 오고 이상민은 안 온다,https://www.khan.co.kr/politics/politics-general/article/202301120829001,2023.01.12 08:29
116, 이재명 오늘 신년 기자회견…‘검찰 수사’ 어디까지 말할까,https://www.khan.co.kr/politics/politics-general/article/202301120755001,2023.01.12 07:55
117, [포토뉴스] 대구 서문시장 찾은 김건희 여사,https://www.khan.co.kr/politics/politics-general/article/202301112103035,2023.01.11 21:03
118," 인천 간 이재명, 지지층 결집해 ‘돌파’ 다짐",https://www.khan.co.kr/politics/politics-general/article/202301112103025,2023.01.11 21:03
119," 옛 정보관 조직 ‘IO’ 역할 유사 ‘경제협력단’ 신설…국정원, ‘음지’로 돌아가나",https://www.khan.co.kr/politics/politics-general/article/202301112052005,2023.01.11 20:52
120," 김경수, 문재인 전 대통령 만나 새해 인사···2년 만의 재회",https://www.khan.co.kr/politics/politics-general/article/202301111751001,2023.01.11 17:51
121," 총선 1년여 앞둔 국회, ‘준연동형 비례대표제·중대선거구제’ 논의 본격화",https://www.khan.co.kr/politics/politics-general/article/202301111714011,2023.01.11 17:14
122," 보폭 넓히는 김건희 여사, 설 앞두고 대구 서문시장 방문",https://www.khan.co.kr/politics/politics-general/article/202301111644001,2023.01.11 16:44
123, 민주당 “이재명 진술 언론 유출은 명백한 공무상 비밀누설죄”,https://www.khan.co.kr/politics/politics-general/article/202301111608011,2023.01.11 16:08
124," [단독] 국정원, 재계 담당 IO 부활?···신설 경제안보국 산하 ‘경제협력단’ 만들었다",https://www.khan.co.kr/politics/politics-general/article/202301111533001,2023.01.11 15:33
125, 공공 업무용으로 ‘갤럭시’ 대신 ‘아이폰’ 사용 가능해진다,https://www.khan.co.kr/politics/politics-general/article/202301111443001,2023.01.11 14:43
126," 김진표, ‘윤 대통령 풍자화 철거’에 “특정 개인 모욕 목적으로 국회 쓰이는 건 옳지 않아”",https://www.khan.co.kr/politics/politics-general/article/202301111408001,2023.01.11 14:08
127," 유승민·홍준표, 대구서 충돌···“수없이 말 바꿔” VS “연탄가스”",https://www.khan.co.kr/politics/politics-general/article/202301111402001,2023.01.11 14:02
128, “윤석열 정부 성공” 빠르게 삼창한 나경원…왜?,https://www.khan.co.kr/politics/politics-general/article/202301111122001,2023.01.11 11:22
129," 국민의힘 “이재명 말 공감, 기소될 것”",https://www.khan.co.kr/politics/politics-general/article/202301111044001,2023.01.11 10:44
